id_odsp,event_team,cumgoal
Is7oOyCL/,Valenciennes,0
Is7oOyCL/,St Etienne,1
jB90KxsI/,Fiorentina,2
jB90KxsI/,Catania,2
l4II6L5G/,Hamburg SV,1
l4II6L5G/,VfL Wolfsburg,1
nD7r2fk2/,Lorient,0
nD7r2fk2/,Toulouse,0
nw39IGBU/,Juventus,2
nw39IGBU/,Genoa,2
pKL5awbj/,Borussia Monchengladbach,0
pKL5awbj/,TSG Hoffenheim,1
rmPEQ88H/,Racing Santander,0
rmPEQ88H/,Espanyol,1
vm4z4GKk/,Montpellier,3
vm4z4GKk/,Caen,1
WQ8wQcs9/,Nice,0
WQ8wQcs9/,AS Nancy Lorraine,1
2ZfzybRb/,Siena,2
2ZfzybRb/,Cesena,0
6uTD71jA/,Bayer Leverkusen,0
6uTD71jA/,Schalke 04,1
8n45JddO/,Chievo Verona,0
8n45JddO/,Internazionale,1
AafvzIt5/,Novara,0
AafvzIt5/,Udinese,3
AkmtCT8U/,Atletico Madrid,1
AkmtCT8U/,Mallorca,1
CKAdLIRB/,Napoli,0
CKAdLIRB/,Cagliari,0
IcBhMbC5/,Lazio,2
IcBhMbC5/,Bologna,0
ILyaWWgn/,Real Zaragoza,0
ILyaWWgn/,Osasuna,3
K2N39xcS/,AJ Auxerre,0
K2N39xcS/,Stade Rennes,1
lQPARlgB/,Rayo Vallecano,2
lQPARlgB/,Real Betis,0
net3Vj9h/,Real Sociedad,0
net3Vj9h/,Getafe,0
OrdWyvCh/,Palermo,0
OrdWyvCh/,AS Roma,1
Qou7UAOb/,Villarreal,0
Qou7UAOb/,Levante,3
SG2Nw0st/,Lecce,3
SG2Nw0st/,AC Milan,4
tK6RxKdn/,Parma,1
tK6RxKdn/,Atalanta,2
vi8sPHdF/,Dijon FCO,0
vi8sPHdF/,Paris Saint-Germain,2
vVxeXCvt/,Valencia,1
vVxeXCvt/,Athletic Bilbao,1
WCuV5uLM/,Hannover 96,2
WCuV5uLM/,Bayern Munich,1
Y93v3zzd/,Lyon,1
Y93v3zzd/,Lille,3
MwOIPSNN/,Racing Santander,2
MwOIPSNN/,Sevilla,2
p6dVRglo/,Juventus,2
p6dVRglo/,Fiorentina,1
4W2Qkcth/,Parma,1
4W2Qkcth/,AC Milan,4
AT5YmyB4/,Novara,1
AT5YmyB4/,Siena,1
